keyword,category,search_intent,priority,existing_page,semrush_volume,kd_pct,content_gap,notes
best ai testing tools,competitor,commercial,1,https://mos2es.org/alternatives/ai-skills-assessment-alternatives,70,39,Improve page,"Semrush suggested; ranks for 0 keywords; avg position 100+"
best ai skills assessment alternatives,competitor,commercial,1,https://mos2es.org/alternatives/ai-skills-assessment-alternatives,0,0,Improve page,"Semrush suggested; KD 0% — easy win"
top enterprise ai testing tools compared,competitor,commercial,1,https://mos2es.org/alternatives/ai-skills-assessment-alternatives,0,0,Improve page,"Semrush suggested; KD 0% — easy win"
best ai benchmarking tools in 2026,competitor,commercial,1,https://mos2es.org/alternatives/ai-benchmarking-tools,40,0,Improve page,"Semrush confirmed 40 volume"
how to measure ai operator performance in enterprise teams,guide,informational,1,https://mos2es.org/guides/how-to-measure-ai-operator-performance,140,0,Improve page,"Semrush confirmed 140 volume — high priority"
competitor comparisons ai operator evaluation,competitor,informational,1,https://mos2es.org/vs,1300,0,Improve page,"Semrush confirmed 1.3K volume — HIGHEST potential page"
the operator layer ai usage vs performance,concept,informational,1,https://mos2es.org/blog/the-operator-layer,170,0,Improve page,"Semrush confirmed 170 volume — second highest"
ai operator evaluation,core,commercial,1,https://mos2es.org,0,0,Improve page,"Homepage; Semrush shows 0 volume — needs keyword targeting"
leverage in ai operator evaluation,metric,informational,2,https://mos2es.org/concepts/leverage,0,0,Improve page,"Semrush shows 0 volume — add keyword variations"
moses vs paxel,competitor,commercial,2,https://mos2es.org/vs/paxel,0,0,Improve page,"Semrush shows 0 volume"
ai operator evaluation platform demo,core,commercial,2,https://mos2es.org/demo,0,0,Improve page,"Semrush shows 0 volume"
ai operator evaluation product,core,commercial,2,https://mos2es.org/product,0,0,Improve page,"Semrush shows 0 volume"
pilot readout demo results,core,informational,2,https://mos2es.org/pilot-readout,0,0,Improve page,"Semrush shows 0 volume"
30-day operator eval pilot,core,commercial,1,https://mos2es.org/pilot,0,0,Improve page,"Semrush shows 0 volume"
best ai workforce measurement tools,competitor,commercial,1,https://mos2es.org/alternatives/ai-workforce-measurement-tools,0,0,Improve page,"Semrush shows 0 volume"
token telemetry without content,concept,informational,1,https://mos2es.org/blog/token-telemetry-without-content,0,0,Improve page,"Semrush shows 0 volume; blog post exists"
best ai operator evaluation tools in 2026,competitor,commercial,1,https://mos2es.org/alternatives/ai-operator-evaluation-tools,0,0,Improve page,"Semrush shows 0 volume"
moses vs langfuse,competitor,commercial,1,https://mos2es.org/vs/langfuse,0,0,Improve page,"Semrush shows 0 volume"
ai operator evaluation methodology,core,informational,2,https://mos2es.org/methodology,0,0,Improve page,"Semrush shows 0 volume"
usage-operation divergence,concept,informational,2,https://mos2es.org/concepts/divergence,0,0,Improve page,"Semrush shows 0 volume"
how to evaluate ai operators in enterprise teams,guide,informational,1,https://mos2es.org/guides/how-to-evaluate-ai-operators,0,0,Improve page,"Semrush shows 0 volume"
best mcp ai developer tools in 2026,competitor,commercial,2,https://mos2es.org/alternatives/mcp-ai-developer-tools,0,0,Improve page,"Semrush shows 0 volume"
ai operator evaluation vs skills assessment,guide,informational,1,https://mos2es.org/guides/ai-operator-evaluation-vs-skills-assessment,0,0,Improve page,"Semrush shows 0 volume"
ai operator evaluation research,core,informational,2,https://mos2es.org/research,0,0,Improve page,"Semrush shows 0 volume"
AI workforce measurement,core,commercial,1,https://mos2es.org/product.html,0,0,,Enterprise category name
AI operator benchmarking,core,commercial,1,https://mos2es.org/concepts/benchmark.html,0,0,,Canonical metric framework
performative benchmarks,core,informational,1,https://mos2es.org/blog/performative-benchmarks-vs-self-report,0,0,,Unique differentiator
AI productivity measurement,core,commercial,1,https://mos2es.org/product.html,0,0,,High-demand enterprise search
enterprise AI evaluation,core,commercial,1,https://mos2es.org/pilot.html,0,0,,Enterprise buyer intent
AI operator metrics,core,informational,2,https://mos2es.org/concepts/,0,0,,Metric-level search
Workera alternatives,competitor,commercial,1,https://mos2es.org/alternatives/workera-alternatives,0,0,,Dedicated page exists
Worklytics alternatives,competitor,commercial,1,https://mos2es.org/alternatives/worklytics-alternatives,0,0,,Dedicated page exists
Braintrust alternatives,competitor,commercial,2,https://mos2es.org/vs/braintrust,0,0,,Dedicated vs page exists
WakaTime alternatives,competitor,commercial,2,https://mos2es.org/vs/wakatime,0,0,,Dedicated vs page exists
ccusage alternatives,competitor,commercial,2,https://mos2es.org/vs/ccusage,0,0,,Dedicated vs page exists
LMSYS arena alternatives,competitor,commercial,2,https://mos2es.org/vs/lmsys-arena,0,0,,Dedicated vs page exists
AI coding ROI tools,competitor,commercial,1,https://mos2es.org/alternatives/ai-coding-roi-tools,0,0,,Alternatives page exists
how to evaluate AI operators,guide,informational,1,https://mos2es.org/guides/how-to-evaluate-ai-operators,0,0,,Guide page exists
AI operator evaluation vs usage analytics,guide,informational,1,https://mos2es.org/guides/ai-operator-evaluation-vs-usage-analytics,0,0,,Comparison page exists
content-free AI measurement,concept,informational,1,,0,0,Create page,"No dedicated page — privacy differentiator; strong AEO candidate"
AI operator intervention testing,concept,informational,2,https://mos2es.org/concepts/intervention.html,0,0,,Concept page exists
canonical token telemetry,concept,informational,2,https://mos2es.org/concepts/canonical-telemetry.html,0,0,,Concept page exists
AI operator composite score,concept,informational,2,https://mos2es.org/concepts/composite-score.html,0,0,,Concept page exists
AI operator yield metric,metric,informational,2,https://mos2es.org/concepts/yield.html,0,0,,Canonical metric page
token signal-to-noise ratio,metric,informational,2,https://mos2es.org/concepts/token-snr.html,0,0,,Canonical metric page
AI operator construction metric,metric,informational,2,https://mos2es.org/concepts/construction.html,0,0,,Canonical metric page
AI operator development index,metric,informational,2,https://mos2es.org/concepts/composite-score.html,0,0,,Composite score page
AI context reuse measurement,metric,informational,3,,0,0,Create page,"No dedicated page; leverage concept; long-tail"
AI operator governance framework,metric,informational,3,https://mos2es.org/concepts/governance.html,0,0,,Concept page exists
AI coding productivity ROI,market,commercial,1,,0,0,Create page,"No dedicated page; hot enterprise topic; $150-250/dev/mo"
enterprise AI ROI measurement,market,commercial,1,https://mos2es.org/product.html,0,0,,63% of orgs struggle with this
AI agent performance KPIs,market,informational,2,,0,0,Create page,"No dedicated page; Google Cloud framework overlap"
AI operator training effectiveness,market,informational,2,https://mos2es.org/concepts/intervention.html,0,0,,Intervention testing demand
AI workflow benchmarking,market,informational,3,,0,0,Create page,"No dedicated page; workflow fit content"
organizational AI capability mapping,market,informational,3,,0,0,Create page,"No dedicated page; topology feature"
AI dependency risk assessment,market,informational,3,,0,0,Create page,"No dedicated page; dependency risk feature"
AI operator cohort benchmarking,market,informational,3,https://mos2es.org/concepts/benchmark.html,0,0,,Benchmarking feature
what is AI operator evaluation,aeo,informational,1,,0,0,Create page,"AEO question format for AI overviews"
how to benchmark AI operators in enterprise,aeo,informational,1,,0,0,Create page,"AEO question format for AI overviews"
AI operator performance without reading prompts,aeo,informational,1,https://mos2es.org/blog/token-telemetry-without-content,0,0,,Blog post exists; privacy angle for AI citations
enterprise AI measurement framework,aeo,informational,2,https://mos2es.org/methodology.html,0,0,,Framework query for AI citations
AI operator evaluation pilot,aeo,commercial,1,https://mos2es.org/pilot.html,0,0,,Pilot/commercial intent for AI citations
ai evaluation,core,informational,1,https://mos2es.org/concepts/ai-evaluation,590,34,New page,"From content brief; primary keyword"
best ai evaluation tools for production,core,commercial,1,https://mos2es.org/concepts/best-ai-evaluation-tools-for-production,590,21,New page,"From content brief; high volume low KD"
ai agent evaluation,core,informational,1,https://mos2es.org/concepts/ai-agent-evaluation,320,43,New page,"From content brief"
ai evaluator,core,commercial,1,https://mos2es.org/concepts/ai-evaluator,260,25,New page,"From content brief"
ai model evaluation,core,informational,2,https://mos2es.org/concepts/ai-model-evaluation,210,46,New page,"From content brief; competitive"
ai evaluations,core,informational,2,https://mos2es.org/concepts/ai-evaluations,170,39,New page,"From content brief; plural variant"
ai evaluation frameworks,core,informational,1,https://mos2es.org/concepts/ai-evaluation-frameworks,110,29,New page,"From content brief"
ai evaluation tools,core,commercial,1,https://mos2es.org/concepts/ai-evaluation-tools,90,30,New page,"From content brief"
evaluating ai,core,informational,2,https://mos2es.org/concepts/evaluating-ai,50,30,New page,"From content brief; low volume but easy"
position: ai evaluation should learn from how we test humans,core,informational,1,https://mos2es.org/blog/ai-evaluation-should-learn-from-how-we-test-humans,260,10,New page,"From content brief; 10% KD — easy win"
ai model safety evaluation benchmark continuous testing,core,informational,2,https://mos2es.org/concepts/ai-model-safety-evaluation-benchmark-continuous-testing,260,21,New page,"From content brief"
confirmation hacking definition ai evaluation,core,informational,2,https://mos2es.org/concepts/confirmation-hacking-ai-evaluation,390,27,New page,"From content brief"
ai evaluation platform,core,commercial,3,https://mos2es.org/concepts/ai-evaluation-platform,140,72,New page,"From content brief; high KD but worth claiming"
ai evaluation news,core,informational,3,https://mos2es.org/concepts/ai-evaluation-news,210,64,New page,"From content brief; trends angle"
ai compliance standards,core,informational,3,https://mos2es.org/concepts/ai-compliance-standards,40,50,New page,"From content brief; compliance angle"
